Life, Root
Animalia, Kingdom
Damalborea, Genus
Reptilia, Class
Pisces, Class
Mammalia, Class
Aves, Class
Chelonia, Order
Primates, Order
Rodentia, Order
sigmoidalis, Species
Artiodactyla, Order
Proboscidea, Order
Crocodylidae, Family
Carnivora, Order
Crocodilia, Order
Camelidae, Family
pygmaea, Species
Hippopotamidae, Family
Rhinocerotidae, Family
Equidae, Family
Hyaenidae, Family
Giraffidae, Family
Felidae, Family
Elephantidae, Family
Hominidae, Family
Suidae, Family
Bovidae, Family
Cercopithecidae, Family
Orycteropus, Genus
Reduncini, Tribe
Bovini, Tribe
Antilopini, Tribe
Tragelaphini, Tribe
Aepycerotini, Tribe
Alcelaphini, Tribe
Gazella, Genus
Connochaetes, Genus
Phacochoerus, Genus
Ceratotherium, Genus
Theropithecus, Genus
Kobus, Genus
Tachyoryctes, Genus
Aepyceros, Genus
Euthecodon, Genus
Equus, Genus
Dinofelis, Genus
Homo, Genus
harmonae, Species
Struthio, Genus
Hipparion, Genus
Ksigmoidalis, Genus
Giraffa, Genus
Deinotherium, Genus
Hystrix, Genus
Koricornus, Genus
Damaliscus, Genus
Sivatherium, Genus
Notochoerus, Genus
Kolpochoerus, Genus
Tragelaphus, Genus
Diceros, Genus
Mollusca, Phylum
